date,campaign_id,creative_id,impressions,clicks,conversions,spend,revenue,currency
2026-06-09,C010,CR027,3639,19,1,225.91,505.30,USD
2026-06-10,C001,CR001,762,93,9,168.97,1478.56,USD
2026-06-10,C001,CR002,437,47,5,86.59,889.78,USD
2026-06-10,C002,CR003,1953,107,4,279.57,591.86,USD
2026-06-10,C002,CR004,1966,101,4,252.85,613.34,USD
2026-06-10,C002,CR005,1817,98,5,241.68,731.54,USD
2026-06-10,C002,CR006,940,51,2,141.83,317.66,USD
2026-06-10,C003,CR007,17274,1152,16,25147.77,27153.51,INR
2026-06-10,C003,CR008,13245,869,14,20392.71,23819.05,INR
2026-06-10,C004,CR009,23786,317,6,365.38,948.39,USD
2026-06-10,C004,CR010,23747,317,9,358.02,1552.17,USD
2026-06-10,C004,CR011,23121,291,7,305.08,1121.29,USD
2026-06-10,C005,CR013,19455,354,26,307.73,2122.60,USD
2026-06-10,C005,CR014,10787,206,12,175.37,987.36,USD
2026-06-10,C006,CR015,314290,2961,15,28154.44,20922.92,INR
2026-06-10,C006,CR016,288493,2719,16,23843.94,23313.03,INR
2026-06-10,C006,CR017,216152,2212,12,20969.21,17325.45,INR
2026-06-10,C008,CR021,3987656,16620,6,61439.43,7980.74,INR
2026-06-10,C008,CR022,2785538,10886,5,37619.46,6856.76,INR
2026-06-10,C010,CR025,5907,33,3,383.70,1517.35,USD
2026-06-10,C010,CR026,4385,26,2,339.26,1025.02,USD
2026-06-10,C010,CR027,3282,18,1,233.29,557.78,USD
2026-06-11,C001,CR001,663,77,9,151.11,1563.11,USD
2026-06-11,C001,CR002,554,59,6,104.74,941.39,USD
2026-06-11,C002,CR003,2323,117,3,290.79,441.88,USD
2026-06-11,C002,CR004,1917,91,4,223.87,598.40,USD
2026-06-11,C002,CR005,1311,72,3,203.20,490.99,USD
2026-06-11,C002,CR006,1195,61,2,158.00,324.13,USD
2026-06-11,C003,CR007,14849,910,16,19654.39,24555.15,INR
2026-06-11,C003,CR008,14924,844,10,19125.68,15585.43,INR
2026-06-11,C004,CR009,23719,310,8,356.44,1239.23,USD
2026-06-11,C004,CR010,27950,368,9,395.00,1377.51,USD
2026-06-11,C004,CR011,23455,279,6,289.15,1002.36,USD
2026-06-11,C005,CR013,20918,354,19,336.27,1374.68,USD
2026-06-11,C005,CR014,10921,197,11,187.30,839.98,USD
2026-06-11,C006,CR015,323890,3400,17,32608.85,22998.18,INR
2026-06-11,C006,CR016,300769,2726,13,24550.07,17408.94,INR
2026-06-11,C006,CR017,270358,2355,12,21167.45,16889.12,INR
2026-06-11,C008,CR021,4053536,16636,6,62852.51,7732.80,INR
2026-06-11,C008,CR022,2464106,10874,4,41920.30,5549.20,INR
2026-06-11,C010,CR025,5062,30,1,385.86,511.43,USD
2026-06-11,C010,CR026,4023,23,1,263.90,538.43,USD
2026-06-11,C010,CR027,2961,17,1,200.41,525.95,USD
2026-06-12,C001,CR001,744,82,9,151.68,1463.32,USD
2026-06-12,C001,CR002,528,57,5,98.60,890.15,USD
2026-06-12,C002,CR003,2264,121,5,304.08,750.21,USD
2026-06-12,C002,CR004,1854,98,4,250.92,606.48,USD
2026-06-12,C002,CR005,1634,79,3,211.48,487.59,USD
2026-06-12,C002,CR006,906,50,2,130.83,283.55,USD
2026-06-12,C003,CR007,15085,932,12,21934.38,20704.38,INR
2026-06-12,C003,CR008,12029,750,11,17356.63,16514.10,INR
2026-06-12,C004,CR009,24739,311,6,366.61,1012.11,USD
2026-06-12,C004,CR010,25554,350,9,405.09,1491.95,USD
2026-06-12,C004,CR011,26444,311,9,330.94,1566.07,USD
2026-06-12,C005,CR013,20159,333,19,304.78,1410.34,USD
2026-06-12,C005,CR014,11012,185,12,175.84,864.28,USD
2026-06-12,C006,CR015,329638,3122,20,29984.83,25388.49,INR
2026-06-12,C006,CR016,319959,2906,16,27441.82,21544.62,INR
2026-06-12,C006,CR017,210778,2208,14,19957.34,18015.98,INR
2026-06-12,C008,CR021,3890127,15773,6,60214.85,8028.40,INR
2026-06-12,C008,CR022,2409277,10741,4,37188.48,5720.40,INR
2026-06-12,C010,CR025,4440,24,2,319.40,1037.99,USD
2026-06-12,C010,CR026,3884,21,2,242.63,977.48,USD
2026-06-12,C010,CR027,2647,14,1,171.53,535.45,USD
2026-06-13,C001,CR001,637,79,8,143.11,1419.86,USD
2026-06-13,C001,CR002,454,49,5,89.64,889.28,USD
2026-06-13,C002,CR003,2022,115,5,307.95,756.34,USD
2026-06-13,C002,CR004,1516,79,4,201.61,575.80,USD
2026-06-13,C002,CR005,1411,70,2,177.68,300.47,USD
2026-06-13,C002,CR006,923,47,2,131.41,300.43,USD
2026-06-13,C003,CR007,13082,833,12,0.00,18522.62,INR
2026-06-13,C003,CR008,12105,719,12,15413.36,20015.36,INR
2026-06-13,C004,CR009,27791,371,9,413.94,1484.80,USD
2026-06-13,C004,CR010,29230,338,7,392.64,1094.42,USD
2026-06-13,C004,CR011,23407,311,7,354.11,1168.51,USD
2026-06-13,C005,CR013,21394,388,32,337.06,2365.07,USD
2026-06-13,C005,CR014,11079,211,14,199.14,1157.22,USD
2026-06-13,C005,CR014,11079,211,14,199.14,1157.22,USD
2026-06-13,C006,CR015,364511,3697,21,33002.51,27203.67,INR
2026-06-13,C006,CR016,290463,2918,14,26545.60,20232.54,INR
2026-06-13,C006,CR017,230701,2418,10,20185.72,13729.45,INR
2026-06-13,C008,CR021,3683552,15367,6,56562.50,8428.18,INR
2026-06-13,C008,CR022,3066656,12079,4,41576.88,5164.90,INR
2026-06-13,C010,CR025,1396,8,1,97.91,526.61,USD
2026-06-13,C010,CR026,1165,7,0,82.88,0.00,USD
2026-06-13,C010,CR027,863,5,0,56.42,0.00,USD
2026-06-14,C001,CR001,634,68,5,121.33,876.89,USD
2026-06-14,C001,CR002,401,49,4,90.05,630.45,USD
2026-06-14,C002,CR003,2147,105,5,268.01,812.80,USD
2026-06-14,C002,CR004,1663,84,3,217.14,490.48,USD
2026-06-14,C002,CR005,1296,73,3,181.41,490.65,USD
2026-06-14,C002,CR006,966,52,2,140.44,281.92,USD
2026-06-14,C003,CR007,13468,836,14,18294.37,24138.05,INR
2026-06-14,C003,CR008,12183,765,14,17701.89,23595.09,INR
2026-06-14,C004,CR009,30979,391,9,405.01,1417.48,USD
2026-06-14,C004,CR010,28957,347,7,373.05,1152.72,USD
2026-06-14,C004,CR011,22377,279,6,303.18,983.31,USD
2026-06-14,C005,CR013,21252,360,21,322.75,1562.29,USD
2026-06-14,C005,CR014,13629,231,15,197.09,1083.85,USD
2026-06-14,C006,CR015,421702,3792,16,31829.22,20655.67,INR
2026-06-14,C006,CR016,313763,2771,12,26204.64,15385.76,INR
2026-06-14,C006,CR017,230866,2184,11,19896.18,13938.13,INR
2026-06-14,C008,CR021,4259180,19646,7,66236.47,10429.99,INR
2026-06-14,C008,CR022,2854361,10935,4,38385.98,5479.55,INR
2026-06-14,C010,CR025,1328,8,1,96.50,559.51,USD
2026-06-14,C010,CR026,832,5,0,71.85,0.00,USD
2026-06-14,C010,CR027,712,4,0,48.52,0.00,USD
2026-06-15,C001,CR001,686,83,7,146.46,1158.33,USD
2026-06-15,C001,CR002,491,58,6,103.02,975.83,USD
2026-06-15,C002,CR003,1932,101,4,278.07,618.77,USD
2026-06-15,C002,CR004,1732,83,2,210.88,296.27,USD
2026-06-15,C002,CR005,1615,85,3,206.83,470.25,USD
2026-06-15,C002,CR006,938,50,2,130.96,284.28,USD
2026-06-15,C003,CR007,17568,1016,18,20974.82,29204.52,INR
2026-06-15,C003,CR008,14673,861,13,19547.77,20357.15,INR
2026-06-15,C004,CR009,27636,354,8,363.61,1361.86,USD
2026-06-15,C004,CR010,27623,317,7,372.40,1156.45,USD
2026-06-15,C004,CR011,20062,247,5,274.89,772.85,USD
2026-06-15,C005,CR013,19046,318,23,308.35,1661.59,USD
2026-06-15,C005,CR014,12305,221,11,185.56,860.01,USD
2026-06-15,C006,CR015,379856,3392,16,29295.45,23180.06,INR
2026-06-15,C006,CR016,306121,2748,14,25644.28,18523.03,INR
2026-06-15,C006,CR017,247821,2286,10,19364.72,12836.39,INR
2026-06-15,C008,CR021,3321755,13690,4,48687.71,6017.01,INR
2026-06-15,C008,CR022,2239118,9787,4,33818.39,5827.57,INR
2026-06-15,C010,CR025,6021,31,3,361.93,1652.67,USD
2026-06-15,C010,CR026,4231,24,2,288.27,991.70,USD
2026-06-15,C010,CR027,4061,21,1,256.18,545.98,USD
2026-06-15,C011,CR028,7234,25,0,224.16,0.00,USD
2026-06-15,C011,CR029,5280,18,0,163.56,0.00,USD
2026-06-16,C001,CR001,680,84,8,150.94,1362.31,USD
2026-06-16,C001,CR002,484,59,6,104.36,913.02,USD
2026-06-16,C002,CR003,2256,127,4,345.22,589.33,USD
2026-06-16,C002,CR004,1775,92,5,245.80,775.08,USD
2026-06-16,C002,CR005,1513,81,4,223.44,652.38,USD
2026-06-16,C002,CR006,1141,58,2,151.73,285.38,
2026-06-16,C003,CR007,16296,976,18,22706.01,28005.81,INR
2026-06-16,C003,CR008,12679,747,13,17267.80,22560.14,INR
2026-06-16,C004,CR009,33284,379,8,387.85,1224.33,USD
2026-06-16,C004,CR010,30067,372,10,391.21,1588.98,USD
2026-06-16,C004,CR011,24801,291,6,296.60,1035.20,USD
2026-06-16,C005,CR013,20216,353,23,321.30,1796.88,USD
2026-06-16,C005,CR014,9654,183,13,176.19,984.75,USD
2026-06-16,C006,CR015,351153,3091,18,29325.93,22946.57,INR
2026-06-16,C006,CR016,278369,2655,12,25365.85,16425.22,INR
2026-06-16,C006,CR017,226730,2343,13,20629.57,16401.41,INR
2026-06-16,C008,CR021,4389508,17844,7,61363.57,9976.68,INR
2026-06-16,C008,CR022,2483457,9842,5,35516.69,6688.88,INR
2026-06-16,C010,CR025,5315,30,2,389.92,984.06,USD
2026-06-16,C010,CR026,4418,26,3,325.46,1601.78,USD
2026-06-16,C010,CR027,3727,19,1,259.92,556.68,USD
2026-06-16,C011,CR028,7677,29,0,250.35,0.00,USD
2026-06-16,C011,CR029,4565,16,0,148.70,0.00,USD
2026-06-17,C001,CR001,774,89,8,164.74,1318.04,USD
2026-06-17,C001,CR002,479,60,6,107.86,1026.42,USD
2026-06-17,C002,CR003,2269,112,4,288.55,602.89,USD
2026-06-17,C002,CR004,2085,101,4,245.66,584.65,USD
2026-06-17,C002,CR005,1510,78,2,208.00,286.18,USD
2026-06-17,C002,CR006,1356,65,2,165.38,319.97,USD
2026-06-17,C003,CR007,17539,1117,14,25536.43,22957.00,INR
2026-06-17,C003,CR008,13564,789,10,18553.36,15645.14,INR
2026-06-17,C004,CR009,24020,305,7,349.09,1116.48,USD
2026-06-17,C004,CR010,26267,300,7,322.81,1145.86,USD
2026-06-17,C004,CR011,22724,268,8,308.40,1247.78,USD
2026-06-17,C005,CR013,23916,398,28,335.87,2036.73,USD
2026-06-17,C005,CR014,11036,210,14,184.60,1010.22,USD
2026-06-17,C006,CR015,315830,2973,13,26403.93,16557.38,INR
2026-06-17,C006,CR016,271083,2493,15,22824.33,18830.25,INR
2026-06-17,C006,CR017,258672,2268,13,20247.63,16196.88,INR
2026-06-17,C008,CR021,3995512,15948,5,60169.16,6996.93,INR
2026-06-17,C008,CR022,2175193,9485,4,33500.79,5841.87,INR
2026-06-17,C010,CR025,6404,33,2,434.50,1050.26,USD
2026-06-17,C010,CR026,4725,24,1,313.42,481.22,USD
2026-06-17,C010,CR027,3472,20,1,242.05,479.20,USD
2026-06-17,C011,CR028,5961,23,0,224.32,0.00,USD
2026-06-17,C011,CR029,5899,21,0,176.98,0.00,USD
2026-06-18,C001,CR001,732,80,7,158.82,1159.10,USD
2026-06-18,C001,CR002,445,48,4,87.64,674.23,USD
2026-06-18,C002,CR003,2414,127,4,327.40,636.28,USD
2026-06-18,C002,CR004,1742,93,4,236.62,567.68,USD
2026-06-18,C002,CR005,1444,79,2,195.61,303.83,USD
2026-06-18,C002,CR006,1255,60,2,147.23,280.26,USD
2026-06-18,C003,CR007,17177,960,16,21744.24,24319.08,INR
2026-06-18,C003,CR008,15969,924,12,19246.19,18013.15,INR
2026-06-18,C004,CR009,22621,289,5,342.72,848.33,USD
2026-06-18,C004,CR010,24332,326,8,369.19,1267.34,USD
2026-06-18,C004,CR011,23085,295,5,313.62,764.70,USD
2026-06-18,C005,CR013,18688,351,22,319.97,1849.06,USD
2026-06-18,C005,CR014,10565,197,11,175.66,811.93,USD
2026-06-18,C006,CR015,332400,3383,18,28777.13,24650.61,INR
2026-06-18,C006,CR016,238679,2283,12,22320.88,15355.26,INR
2026-06-18,C006,CR017,211690,2131,10,18022.89,13698.27,INR
2026-06-18,C008,CR021,3321220,14216,5,54499.24,7378.50,INR
2026-06-18,C008,CR022,2406593,9977,3,34628.81,4165.68,INR
2026-06-18,C010,CR025,5866,32,3,381.00,1572.08,USD
2026-06-18,C010,CR026,4025,21,2,273.33,1118.13,USD
2026-06-18,C010,CR027,2952,17,1,219.72,508.47,USD
2026-06-18,C011,CR028,7123,24,0,215.68,0.00,USD
2026-06-18,C011,CR029,5668,19,0,177.97,0.00,USD
2026-06-19,C001,CR001,668,81,8,145.19,1323.22,USD
2026-06-19,C001,CR002,403,47,4,86.33,641.96,USD
2026-06-19,C002,CR003,2730,131,5,332.60,732.55,USD
2026-06-19,C002,CR004,1574,79,3,201.89,424.28,USD
2026-06-19,C002,CR005,1496,86,4,235.45,600.37,USD
2026-06-19,C002,CR006,1005,50,2,134.20,285.18,USD
2026-06-19,C003,CR007,16109,1085,20,22497.24,31860.56,INR
2026-06-19,C003,CR008,14373,799,13,18265.32,21485.20,USD
2026-06-19,C004,CR009,35568,426,10,441.06,1762.78,USD
2026-06-19,C004,CR010,30001,342,7,374.47,1106.98,USD
2026-06-19,C004,CR011,24116,282,8,301.96,1342.81,USD
2026-06-19,C005,CR013,20399,389,28,369.91,2044.55,USD
2026-06-19,C005,CR014,11006,204,16,188.29,1313.10,USD
2026-06-19,C006,CR015,353369,3684,18,32701.63,26133.68,INR
2026-06-19,C006,CR016,346194,3370,14,28564.66,17594.00,INR
2026-06-19,C006,CR017,249266,2278,13,19522.76,16156.87,INR
2026-06-19,C008,CR021,4530010,18767,9,65661.76,12271.75,INR
2026-06-19,C008,CR022,2629406,11934,4,41447.06,5675.48,INR
2026-06-19,C010,CR025,4344,23,2,282.50,975.44,USD
2026-06-19,C010,CR026,3572,19,2,228.66,1019.28,USD
2026-06-19,C010,CR027,2763,16,2,192.70,974.35,USD
2026-06-19,C011,CR028,5725,20,0,191.93,0.00,USD
2026-06-19,C011,CR029,3581,12,0,119.28,0.00,USD
2026-06-20,C001,CR001,766,81,7,142.12,1160.93,USD
2026-06-20,C001,CR002,357,45,3,81.98,497.13,USD
2026-06-20,C002,CR003,1998,110,5,287.08,775.81,USD
2026-06-20,C002,CR004,1488,85,4,205.61,627.10,USD
2026-06-20,C002,CR005,1501,72,2,175.74,300.53,USD
2026-06-20,C002,CR006,991,57,3,139.41,476.38,USD
2026-06-20,C003,CR007,16066,891,15,18493.78,23546.78,INR
2026-06-20,C003,CR008,10322,674,11,15315.50,17769.13,INR
2026-06-20,C004,CR009,27390,354,8,388.68,1267.51,USD
2026-06-20,C004,CR010,28877,356,8,389.44,1401.53,USD
2026-06-20,C004,CR011,23082,275,6,292.77,924.28,USD
2026-06-20,C005,CR013,19067,323,24,311.85,1998.42,USD
2026-06-20,C005,CR014,11850,216,13,186.54,1002.91,USD
2026-06-20,C006,CR015,354711,3355,17,29911.85,24535.68,INR
2026-06-20,C006,CR016,305027,2973,14,25011.25,17813.25,INR
2026-06-20,C006,CR017,277769,2491,13,22335.29,18370.07,INR
2026-06-20,C007,CR018,27253,404,14,541.53,2398.30,USD
2026-06-20,C007,CR019,24999,359,10,437.44,1676.82,USD
2026-06-20,C007,CR020,16397,239,7,281.20,1265.21,USD
2026-06-20,C008,CR021,3430518,15674,8,60770.00,10439.42,INR
2026-06-20,C008,CR022,2939754,11487,5,42098.79,7311.00,INR
2026-06-20,C010,CR025,1647,9,1,114.42,548.43,USD
2026-06-20,C010,CR026,1368,8,1,92.20,530.07,USD
2026-06-20,C010,CR027,991,5,0,63.07,0.00,USD
2026-06-20, C011 ,CR028,2010,7,0,61.79,0.00,USD
2026-06-20,C011,CR029,1506,5,0,44.87,0.00,USD
2026-06-21,C001,CR001,644,79,8,144.08,1230.70,USD
2026-06-21,C001,CR002,353,40,3,72.97,509.98,USD
2026-06-21,C002,CR003,2114,101,4,281.08,605.95,USD
2026-06-21,C002,CR004,1347,72,2,183.28,287.86,USD
2026-06-21,C002,CR005,1217,66,2,176.25,289.65,USD
2026-06-21,C002,CR006,930,50,55,125.59,284.87,USD
2026-06-21,C003,CR007,12470,785,11,18028.40,18059.41,INR
2026-06-21,C003,CR008,12173,712,10,15141.22,16412.55,INR
2026-06-21,C004,CR009,28443,370,8,403.30,1355.14,USD
2026-06-21,C004,CR010,29988,357,8,369.67,1361.77,USD
2026-06-21,C004,CR011,25117,307,7,,1215.97,USD
2026-06-21,C005,CR013,16287,314,18,302.60,1485.35,USD
2026-06-21,C005,CR014,12541,223,13,194.59,1032.49,USD
2026-06-21,C006,CR015,321817,3346,14,30050.54,18192.24,INR
2026-06-21,C006,CR016,308271,3107,15,28905.10,19679.37,INR
2026-06-21,C006,CR017,223498,2290,12,21677.43,15114.02,INR
2026-06-21,C007,CR018,45512,742,23,916.62,4496.85,USD
2026-06-21,C007,CR019,30830,485,18,644.15,3399.34,USD
2026-06-21,C007,CR020,22259,323,11,404.13,2139.85,USD
2026-06-21,C008,CR021,4585636,19542,7,67168.12,10429.77,INR
2026-06-21,C008,CR022,3216243,13393,5,44745.04,6963.35,INR
2026-06-21,C010,CR025,1393,8,0,99.05,0.00,USD
2026-06-21,C010,CR026,1137,6,1,78.84,507.64,USD
2026-06-21,C010,CR027,783,4,1,52.82,523.46,USD
2026-06-21,C011,CR028,1730,6,0,54.05,0.00,USD
2026-06-21,C011,CR029,1114,4,0,39.30,0.00,USD
2026-06-22,C001,CR001,734,78,9,137.83,1549.40,USD
2026-06-22,C001,CR002,417,48,5,94.20,764.98,USD
2026-06-22,C002,CR003,2468,118,4,314.57,623.05,USD
2026-06-22,C002,CR004,1555,88,3,220.16,448.89,USD
2026-06-22,C002,CR005,1462,82,4,225.45,567.91,USD
2026-06-22,C002,CR006,1387,66,2,160.52,284.93,USD
2026-06-22,C003,CR007,16317,1002,13,21299.18,21670.32,INR
2026-06-22,C003,CR008,14246,880,14,18337.13,23968.94,INR
2026-06-22,C004,CR009,24912,323,8,334.47,1256.56,USD
2026-06-22,C004,CR010,24051,306,5,325.11,849.42,USD
2026-06-22,C004,CR011,21398,289,6,305.84,935.70,USD
2026-06-22,C005,CR013,21389,375,26,343.77,1926.67,USD
2026-06-22,C005,CR014,8324,157,8,150.20,667.66,USD
2026-06-22,C006,CR015,278437,2849,11,27272.70,14840.74,INR
2026-06-22,C006,CR016,275073,2396,13,22983.22,18366.19,INR
2026-06-22,C006,CR017,202372,2086,9,19098.12,12499.95,INR
2026-06-22,C007,CR018,69398,981,26,1145.33,4497.90,USD
2026-06-22,C007,CR019,40552,647,17,842.32,3320.72,USD
2026-06-22,C007,CR020,27539,442,13,513.74,2229.42,USD
2026-06-22,C008,CR021,3998061,16312,7,59904.46,10040.55,INR
2026-06-22,C008,CR022,2389628,10032,5,35648.31,6790.38,INR
2026-06-22,C010,CR025,5643,29,2,388.58,1095.02,USD
2026-06-22,C010,CR026,3974,23,1,311.08,523.45,USD
2026-06-22,C010,CR027,3297,17,1,214.55,542.19,USD
2026-06-22,C011,CR028,8461,27,0,229.89,0.00,USD
2026-06-22,C011,CR029,5303,20,0,180.52,0.00,USD
2026-06-23,C001,CR001,635,73,6,145.11,947.55,USD
2026-06-23,C001,CR002,494,57,5,104.68,869.29,USD
2026-06-23,C002,CR003,2764,142,6,340.80,930.57,USD
2026-06-23,C002,CR004,2026,96,3,231.17,487.19,USD
2026-06-23,C002,CR005,1730,87,3,216.08,457.27,USD
2026-06-23,C002,CR006,1095,55,2,153.67,321.49,USD
2026-06-23,C003,CR007,15625,1015,18,23822.70,30022.90,INR
2026-06-23,C003,CR008,12630,764,13,17342.46,19899.58,INR
2026-06-23,C004,CR009,28793,360,9,382.37,1484.16,USD
2026-06-23,C004,CR010,28562,371,9,384.80,1505.20,USD
2026-06-23,C004,CR011,25776,314,7,333.94,1089.42,USD
2026-06-23,C005,CR013,21387,363,22,351.56,1636.58,USD
2026-06-23,C005,CR014,10216,174,13,155.56,1042.37,USD
2026-06-23,C006,CR015,334154,3203,13,27007.34,16926.68,INR
2026-06-23,C006,CR016,298347,2772,17,25467.74,22591.36,INR
2026-06-23,C006,CR017,217526,2042,10,19060.21,14184.55,INR
2026-06-23,C007,CR018,67426,1080,35,1459.49,6279.07,USD
2026-06-23,C007,CR019,60538,1028,34,1229.85,6466.02,USD
2026-06-23,C007,CR020,38040,641,23,769.16,4394.38,USD
2026-06-23,C008,CR021,4029221,15858,7,59964.35,10085.95,INR
2026-06-23,C008,CR022,2334528,9240,3,34365.40,4267.34,INR
2026-06-23,C010,CR025,5925,36,3,436.20,1626.61,USD
2026-06-23,C010,CR026,4719,24,2,305.22,1102.66,USD
2026-06-23,C010,CR027,2977,17,2,228.99,991.69,USD
2026-06-23,C011,CR028,7054,27,0,233.18,0.00,USD
2026-06-23,C011,CR029,5424,18,0,162.66,0.00,USD
2026-06-24,C001,CR001,746,82,8,142.23,1364.69,USD
2026-06-24,C001,CR002,521,57,5,105.64,816.85,USD
2026-06-24,C002,CR003,2441,116,6,320.66,886.91,USD
2026-06-24,C002,CR004,1774,88,4,247.99,648.17,USD
2026-06-24,C002,CR005,1585,88,3,232.26,426.09,USD
2026-06-24,C002,CR006,1039,57,3,140.80,467.67,USD
2026-06-24,C003,CR007,16063,1002,15,21185.63,23309.12,INR
2026-06-24,C003,CR008,13614,813,13,18256.34,19740.00,INR
2026-06-24,C004,CR009,25195,345,9,406.84,1496.18,USD
2026-06-24,C004,CR010,27155,317,6,378.27,919.50,USD
2026-06-24,C004,CR011,22218,260,5,302.44,815.97,USD
2026-06-24,C005,CR013,16106,314,19,301.78,1577.40,USD
2026-06-24,C005,CR014,11322,188,13,179.30,998.50,USD
2026-06-24,C006,CR015,346707,3298,15,29609.74,21498.82,INR
2026-06-24,C006,CR016,322232,2910,15,26947.77,21050.12,INR
2026-06-24,C006,CR017,229488,2231,9,19113.07,12962.14,INR
2026-06-24,C007,CR018,135755,1990,69,2420.28,12456.11,USD
2026-06-24,C007,CR019,73572,1243,38,1545.67,6586.71,USD
2026-06-24,C007,CR020,55230,885,32,1149.54,5534.33,USD
2026-06-24,C008,CR021,3874122,16438,5,58163.01,6583.52,INR
2026-06-24,C008,CR022,2211287,10231,5,34819.51,6474.53,INR
2026-06-24,C010,CR025,5191,29,2,374.92,985.70,USD
2026-06-24,C010,CR026,5252,27,2,347.36,972.43,USD
2026-06-24,C010,CR027,3983,21,2,249.65,1112.30,USD
2026-06-24,C011,CR028,7295,26,0,241.28,0.00,USD
2026-06-24,C011,CR029,4914,19,0,167.19,0.00,USD
2026-06-25,C001,CR001,820,90,9,167.51,1506.45,USD
2026-06-25,C001,CR002,417,49,4,97.35,621.79,USD
2026-06-25,C002,CR003,2190,109,4,287.12,624.07,USD
2026-06-25,C002,CR004,1874,101,4,248.45,645.13,USD
2026-06-25,C002,CR005,1519,85,3,217.23,439.39,USD
2026-06-25,C002,CR006,1140,62,3,157.12,492.33,USD
2026-06-25,C003,CR007,19712,1126,14,25222.76,23535.45,INR
2026-06-25,C003,CR008,13819,894,12,20178.61,20716.59,INR
2026-06-25,C004,CR009,30073,379,7,414.33,1165.79,USD
2026-06-25,C004,CR010,29732,338,8,397.02,1314.86,USD
2026-06-25,C004,CR011,24104,302,7,320.74,1102.51,USD
2026-06-25,C005,CR013,20708,367,29,350.49,2198.29,USD
2026-06-25,C005,CR014,11064,207,12,174.50,937.02,USD
2026-06-25,C006,CR015,326294,3294,14,29734.06,20003.75,INR
2026-06-25,C006,CR016,278275,2817,15,24852.91,19589.11,INR
2026-06-25,C006,CR017,218828,2104,11,18893.37,13892.45,INR
2026-06-25,C007,CR018,134513,2312,67,2702.84,12805.18,USD
2026-06-25,C007,CR019,80870,1378,45,1778.46,8503.14,USD
2026-06-25,C007,CR020,75342,1098,33,1373.88,6197.65,USD
2026-06-25,C008,CR021,3817243,16489,7,58034.01,10533.10,INR
2026-06-25,C008,CR022,3004522,11922,4,40475.39,5956.51,INR
2026-06-25,C010,CR025,5138,31,2,387.60,1105.07,USD
2026-06-25,C010,CR026,4519,25,2,328.23,1117.22,USD
2026-06-25,C010,CR027,3218,19,1,226.38,494.51,USD
2026-06-25,C011,CR028,6924,23,0,208.12,0.00,USD
2026-06-25,C011,CR029,4623,17,0,159.39,0.00,USD
2026-06-26,C001,CR001,697,88,7,158.20,1194.93,USD
